لجان القيد,,قلم الأقتراع,عدد المقترعين,عدد الأوراق الباطلة,عدد الأوراق البيضاء,العدد المعول عليه مع الأوراق البيضاء,(1) الشراكة والارادة,,,,,,,,,(2) صوتك ثورة,,,,,,,,(3) لائحة الجبل,,,,,,,,(4) قادرين,,,,,(5) توحدنا للتغيير,,,,,,,,(6) سيادة وطن,,,,,,,(7) الجبل ينتفض,,,,
,,,,,,,فادي فارس المعلوف,ايلي مخايل قرداحي,حبوبه يوسف عون,سعد الدين وسيم الخطيب,بلال احمد عبد الله,مروان محمد حماده,جورج جميل عدوان,تيمور وليد جنبلاط,مجموع الأصوات,معضاد حسن ابو علي,ميشال خليل ابو سليمان,جمال انطوان مرهج,جهاد نبيل ذبيان,كابي الياس القزي,سمير حسن عاكوم,محمد سامي الحجار,مجموع الأصوات,انطوان بشاره عبود,اسامه محمد المعوش,احمد حلمي نجم الدين,فريد جورج فيليب البستاني,غسان امال عطا الله,وئام ماهر نجيب وهاب,ناجي نبيه البستاني,مجموع الأصوات,عماد محمد الفران,خالد ابراهيم سعد,ايمن غازي زين الدين,جوزف اسعد طعمه,مجموع الأصوات,شكري يوسف حداد,عماد وفيق سيف الدين,حليمه ابراهيم القعقور,صعود كريم ابو شبل,رانيه عادل غيث,نجاة خطار عون,غاده غازي ماروني عيد,مجموع الأصوات,جورج ادوار سلوان,هشام عزات ذبيان,مأمون احمد المأمون ملك,جويس جوزف مارون,محمد عمار ابراهيم الشمعه,دعد ناصيف القزي,مجموع الأصوات,اكرم علي بريش,عبد الله يوسف ابو عبد الله,نبيل خليل مشنتف,زينه شوقي منصور,مجموع الأصوات
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,43,بيت الدين - مدرسة مار مارون - غرفة رقم 3,140,0,1,140,2,7,0,0,0,2,43,3,58,0,0,0,0,0,0,0,0,0,0,0,11,13,0,3,27,0,0,0,1,1,0,0,0,4,0,48,1,53,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,44,بيقون - كنيسة بيقون - غرفة رقم 1,188,3,2,185,4,1,1,0,0,0,68,1,77,0,0,0,0,0,0,0,0,0,0,0,13,45,0,0,59,0,0,0,0,0,0,0,3,8,0,31,4,47,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,45,جون - المدرسة الرسمية - غرفة رقم 1,347,8,1,339,1,0,4,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,2,5,34,15,223,14,294,0,1,3,1,5,1,11,7,0,2,4,3,28,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,46,جون - المدرسة الرسمية - غرفة رقم 2,201,3,1,198,21,3,0,0,1,0,52,1,82,0,0,0,0,0,0,0,0,0,0,0,6,32,7,3,49,0,2,1,1,4,3,0,11,5,1,32,8,60,0,1,0,0,0,0,1,0,0,0,0,1
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,47,جون - المدرسة الرسمية - غرفة رقم 3,184,3,1,181,13,1,0,0,2,1,60,0,80,0,0,0,0,0,0,0,0,0,0,0,2,33,4,4,43,0,2,0,1,3,3,1,5,2,0,33,9,54,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,48,جون - المدرسة الرسمية - غرفة رقم 4,342,6,2,336,0,0,3,0,10,0,1,0,14,0,0,0,0,0,0,0,0,0,0,2,27,9,216,20,282,0,0,0,0,2,0,12,5,0,1,12,2,35,0,1,0,0,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,49,جون - المدرسة الرسمية - غرفة رقم 5,240,4,0,236,3,0,2,2,9,0,4,0,20,0,0,0,0,0,0,0,10,0,0,1,28,10,122,15,177,0,0,1,2,3,0,9,5,2,0,5,2,25,0,0,0,0,0,0,0,0,1,0,0,1
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,50,جون - المدرسة الرسمية - غرفة رقم 6,217,4,0,213,13,1,0,0,0,1,87,0,107,0,1,0,0,0,0,0,1,1,0,0,10,37,4,0,52,0,0,0,1,1,0,1,2,9,1,29,8,51,0,0,0,0,0,1,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,51,جون - المدرسة الرسمية - غرفة رقم 7,222,22,0,200,12,3,0,0,0,0,71,0,95,0,0,0,0,0,0,0,0,1,0,0,8,31,6,0,48,0,0,1,1,2,3,0,1,5,0,43,2,54,0,0,0,0,0,1,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,52,ضهر المغارة - مركز البلدية - غرفة رقم 1,175,4,0,171,0,13,0,0,0,0,108,0,122,0,0,0,0,0,0,0,0,0,0,0,26,11,0,2,39,0,0,0,0,0,0,0,0,2,0,4,0,6,0,0,0,0,0,0,0,0,4,0,0,4
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,53,عترين - مبنى البلدية - غرفة رقم 1,261,12,2,249,0,0,1,0,2,83,3,2,92,0,0,0,0,0,0,0,0,0,0,3,0,1,55,0,62,0,1,1,0,3,2,0,9,0,11,23,38,90,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,54,عترين - مبنى البلدية - غرفة رقم 2,273,3,2,270,0,0,0,0,2,92,2,17,120,0,0,0,0,0,0,0,0,0,0,2,0,1,56,0,59,0,1,4,0,5,2,0,11,0,4,36,24,84,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,55,كفر قطره - المدرسة الرسمية - غرفة رقم 1,270,2,3,268,58,2,0,0,0,5,57,3,126,0,0,0,0,0,0,0,0,0,0,0,33,40,4,18,95,0,0,0,1,1,3,0,0,3,0,34,2,43,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,56,كفر قطره - المدرسة الرسمية - غرفة رقم 2,241,4,4,237,38,1,0,0,0,82,7,4,134,0,1,0,0,0,0,0,2,1,0,0,7,11,23,4,46,0,0,1,0,1,3,0,12,1,2,19,13,50,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,57,كفر قطره - المدرسة الرسمية - غرفة رقم 3,273,6,2,267,44,0,2,0,0,2,55,2,108,0,0,0,0,0,0,0,0,0,0,0,30,30,2,24,86,0,0,0,1,1,4,0,2,2,0,56,4,69,1,0,0,0,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,58,كفر قطره - المدرسة الرسمية - غرفة رقم 4,248,6,1,242,28,1,0,0,0,77,6,6,119,0,0,0,0,0,0,0,0,0,0,0,10,16,27,5,58,0,0,0,0,2,4,0,10,0,5,28,13,62,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,59,وادي الدير - بيت جاهز قرب منزل المختار السابق انطوان مارون - غرفة رقم 1,159,2,1,157,5,0,2,0,0,0,44,14,66,0,7,0,0,0,0,0,7,0,0,0,22,25,14,12,73,0,0,0,0,0,1,0,0,0,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,60,وادي الست - مدرسة وقف مار متى - غرفة رقم 1,324,5,0,319,8,18,0,0,0,0,113,4,154,0,0,1,0,0,0,1,2,0,0,0,34,52,13,9,109,0,1,1,2,4,0,0,1,4,0,32,10,48,0,0,0,0,0,1,1,0,0,0,0,1
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,61,وادي الست - مدرسة وقف مار متى - غرفة رقم 2,311,5,3,306,10,16,0,0,0,0,90,7,127,0,0,1,0,0,0,0,1,0,0,0,37,59,8,7,111,0,1,0,2,3,0,0,2,3,0,38,11,56,0,0,0,0,0,5,5,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,62,"الجمهورية الفدرالية البرازيلية، برازيليا - السفارة اللبنانية في برازيليا - القلم رقم 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,63,"الجمهورية الفرنسية، باريس - دار البلدية- Creteil  - غرفة رقم 1",15,0,0,15,1,0,0,0,0,1,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,64,"الجمهورية الفرنسية، باريس - دار البلدية- Nancy - القلم رقم 23",7,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,65,"الجمهورية الفرنسية، باريس - دار البلدية- Rouen - القلم رقم 48",17,0,0,17,0,1,0,0,0,1,2,4,8,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,66,"الجمهورية الفرنسية، مرسيليا - دار البلدية- Clermont-Ferrand - القلم رقم 65",11,0,0,11,0,0,0,1,0,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,6,0,0,1,0,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,67,"الجمهورية الفرنسية، مرسيليا - دار البلدية- Montpellier - القلم رقم 71",40,0,0,40,0,3,0,0,2,1,4,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,6,0,2,6,3,20,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,68,"الولايات المتحدة الأميركية، ديترويت - Bint Jbeil Cultural Center  - غرفة رقم 3",12,3,0,9,0,0,0,1,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,69,"الولايات المتحدة الأميركية، ديترويت - Consulate General of Lebanon  - غرفة رقم 1",31,0,0,31,0,1,0,0,0,1,5,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,1,1,0,1,8,2,15,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,70,"الولايات المتحدة الأميركية، ديترويت - Sultan Club - القلم رقم 33",13,0,0,13,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,71,"الولايات المتحدة الأميركية، لوس انجلس - Churc Colorado St. Rafka Maronite - القلم رقم 34",12,0,0,12,0,0,0,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,72,"Honorary Consulate of Lebanon - الولايات المتحدة الأميركية، لوس انجلس
2 غرفة رقم -  in San Francisco",39,1,0,38,1,0,0,0,0,4,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,6,0,1,13,2,23,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,73,"San Diego St Ephrem Maronite - الولايات المتحدة الأميركية، لوس انجلس
48 القلم رقم - Catholic Church",9,0,0,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,74,"الولايات المتحدة الأميركية، لوس انجلس - St. Charbel Church Oregon - القلم رقم 49",14,0,0,14,0,2,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,75,"الولايات المتحدة الأميركية، نيويورك - Pashalian Hall  - غرفة رقم 4",65,0,0,65,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,6,0,0,5,0,5,1,0,7,1,3,25,7,44,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,76,"الولايات المتحدة الأميركية، نيويورك - St. Sharbel Maronite Catholic
Church  - غرفة رقم 2",51,0,0,51,0,0,0,0,0,1,19,1,22,0,0,0,0,0,0,0,0,0,0,0,4,10,0,2,16,0,0,0,0,0,0,0,2,0,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,77,"الولايات المتحدة الأميركية، واشنطن - Jacksonville Marriott Hotel - القلم رقم 10",7,0,0,7,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,78,"الولايات المتحدة الأميركية، واشنطن - Tampa - Lebanese Honorary Consulate  - غرفة رقم 1",34,0,1,34,0,1,0,0,2,1,8,8,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,79,"الولايات المتحدة الأميركية، واشنطن - Our Lady-Lebanon Catholic
Church  - غرفة رقم 1",56,1,0,55,0,0,0,0,0,1,10,13,26,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,3,0,1,13,5,24,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,80,"جمهورية ألمانيا الإتحادية، برلين - Factory Hotel  - غرفة رقم 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,81,"جمهورية ألمانيا الإتحادية، برلين - IntercityHotel Braunschweig  - غرفة رقم 2",7,0,0,7,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,82,"جمهورية ألمانيا الإتحادية، برلين - القنصلية اللبنانية الفخرية  - غرفة رقم 1",36,0,0,36,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,6,0,0,5,1,1,12,2,22,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,83,"دولة الإمارات العربية المتحدة، دبي - مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 4  ",418,3,0,415,2,8,1,3,2,6,26,36,86,0,1,1,0,0,0,0,2,0,0,1,0,2,3,1,9,1,2,1,0,4,2,3,73,6,10,152,53,313,0,0,0,0,1,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثانية في دائرة جبل لبنان 4 - الشوف,84,الشوف موظفون - سراي بيت الدين - القلم رقم 42,338,9,4,329,3,1,3,11,59,17,11,38,144,0,0,0,0,0,0,21,21,0,0,7,6,9,26,10,59,0,0,0,0,0,0,5,26,1,1,13,7,56,0,1,0,0,40,2,45,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,1,البيره - مركز الدفاع المدني - غرفة رقم 1,353,6,2,347,10,3,0,0,0,5,132,48,200,0,0,0,0,0,0,1,1,0,0,0,17,45,15,11,88,0,0,0,1,1,0,0,3,20,0,17,9,49,5,0,0,0,0,1,6,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,2,البيره - مركز الدفاع المدني - غرفة رقم 2,373,6,0,367,19,8,0,0,0,3,119,40,193,0,0,0,0,0,1,0,1,0,0,0,34,39,13,9,95,0,0,0,0,1,1,0,2,15,0,45,5,68,7,0,0,0,0,2,9,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,3,البيره - مركز الدفاع المدني - غرفة رقم 3,332,3,2,329,33,2,0,0,0,11,115,39,210,0,0,0,0,0,0,0,1,0,0,0,14,35,7,13,69,0,0,0,0,0,0,0,1,5,0,25,8,40,4,0,0,0,0,3,7,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,4,الجميليه - صالون الكنيسة - غرفة رقم 1,192,2,0,190,0,0,1,0,1,0,58,1,62,0,0,0,0,0,0,0,0,0,0,0,23,32,9,10,74,0,0,1,0,2,0,1,4,7,0,36,2,50,0,0,0,0,0,0,0,0,0,2,0,2
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,5,الرميله - التكميلية الرسمية - غرفة رقم 1,265,0,0,265,5,8,2,1,6,2,120,0,147,0,0,0,0,0,0,0,0,1,0,0,22,38,7,8,76,0,1,0,0,1,0,0,1,10,0,20,8,41,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,6,الرميله - التكميلية الرسمية - غرفة رقم 2,289,1,0,288,6,7,0,0,0,7,0,132,154,0,0,0,0,0,0,0,0,0,0,0,20,48,1,4,73,0,0,0,2,2,4,0,5,18,0,22,7,56,0,0,0,1,0,2,3,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,7,الرميله - التكميلية الرسمية - غرفة رقم 3,260,0,1,260,6,3,1,0,1,1,129,1,142,0,0,0,0,0,0,0,0,0,0,0,18,44,4,17,83,0,0,0,0,0,0,0,1,8,0,14,6,29,0,0,0,5,0,0,5,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,8,الرميله - التكميلية الرسمية - غرفة رقم 4,268,3,1,265,1,5,1,0,2,1,128,0,140,0,0,0,1,0,0,0,1,0,0,0,16,29,3,12,61,0,0,0,0,0,1,0,2,16,0,31,10,61,0,0,0,0,1,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,9,الرميله - التكميلية الرسمية - غرفة رقم 5,276,1,1,275,4,5,2,0,0,0,112,0,125,0,0,0,0,0,0,0,1,0,0,0,15,48,5,14,83,0,0,0,0,0,1,0,1,13,0,35,7,58,0,0,0,6,0,0,6,0,0,0,0,1
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,10,المحتقره دير المخلص - دير المخلص - غرفة رقم 1,102,0,0,102,7,0,0,0,3,0,24,2,38,0,0,0,0,0,0,0,0,0,0,0,12,18,13,0,44,0,0,0,0,0,1,0,1,3,0,11,3,20,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,11,جباع - دار البلدة - غرفة رقم 1,282,4,1,278,0,0,5,0,0,10,2,193,211,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,26,0,0,0,1,1,1,2,4,0,14,14,3,38,0,0,0,0,0,0,0,0,1,0,0,1
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,12,جباع - دار البلدة - غرفة رقم 2,350,4,5,346,0,0,6,0,2,10,5,224,248,0,0,0,0,0,0,1,1,0,0,0,3,1,25,0,29,0,0,1,1,5,0,1,11,0,16,22,5,57,0,0,0,0,0,0,0,0,1,0,0,1
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,13,جديدة الشوف - الثانوية الرسمية - غرفة رقم 1,167,4,3,163,0,0,1,0,3,106,1,22,135,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,0,0,1,0,1,1,0,9,0,2,4,1,19,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,14,جديدة الشوف - الثانوية الرسمية - غرفة رقم 2,186,0,2,186,0,0,3,0,4,116,0,15,139,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,10,0,4,15,5,35,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,15,دير القمر - المدرسة المهنية - غرفة رقم 1,276,2,1,274,20,4,0,1,0,3,65,1,96,0,1,0,0,1,0,0,4,1,0,0,26,15,2,66,111,0,0,1,0,1,0,0,8,2,1,37,13,61,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,16,دير القمر - المدرسة المهنية - غرفة رقم 2,265,3,1,262,33,1,1,0,0,2,62,0,99,0,1,0,0,0,0,0,1,0,0,0,24,25,1,56,107,0,0,0,1,1,0,0,3,2,0,37,8,50,0,0,0,1,2,0,3,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,17,دير القمر - المدرسة المهنية - غرفة رقم 3,264,9,1,255,18,2,0,0,0,2,57,3,83,0,1,0,0,0,0,0,1,0,0,0,32,21,3,40,97,0,0,1,1,2,0,0,1,11,0,40,16,70,0,0,0,0,0,0,0,0,1,0,0,1
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,18,دير القمر - المدرسة المهنية - غرفة رقم 4,284,2,0,282,32,1,0,0,0,5,68,2,111,0,1,0,0,0,0,0,1,0,0,0,28,17,8,68,121,0,0,0,0,0,0,0,3,2,1,29,13,49,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,19,دير القمر - المدرسة المهنية - غرفة رقم 5,262,1,0,261,16,3,0,0,0,0,73,6,100,0,1,0,0,0,0,0,1,0,0,0,32,25,3,52,112,0,1,2,0,3,0,0,4,0,0,32,8,44,0,0,0,1,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,20,دير القمر - المدرسة المهنية - غرفة رقم 6,202,3,0,199,10,0,0,0,1,0,52,4,69,0,0,0,0,0,0,0,0,0,0,0,9,25,3,50,87,0,0,0,0,0,0,0,3,0,0,30,7,40,0,0,0,0,0,2,2,0,0,1,0,1
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,21,دير القمر - السراي القديمة - غرفة رقم 1,165,7,1,158,15,2,3,0,0,0,38,2,60,0,0,0,0,0,0,0,0,0,0,2,18,6,0,27,53,1,3,2,0,6,1,0,0,3,0,24,9,37,0,0,0,0,0,0,0,0,1,0,0,1
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,22,دير القمر - السراي القديمة - غرفة رقم 2,173,6,1,167,9,1,0,0,0,2,42,0,54,0,0,0,0,0,0,0,0,0,0,0,12,25,4,40,81,0,1,0,1,2,0,0,1,1,0,16,10,28,0,0,0,0,0,1,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,23,دير القمر - السراي القديمة - غرفة رقم 3,245,4,2,241,1,4,2,0,0,3,55,1,86,0,1,1,0,0,0,0,2,0,0,0,30,12,1,51,94,0,1,0,1,2,0,0,4,4,2,36,8,55,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,24,دير القمر - السراي القديمة - غرفة رقم 4,264,4,0,260,17,1,1,0,0,1,54,0,78,0,0,0,0,0,0,0,0,0,0,0,37,23,2,51,113,0,0,0,2,2,0,0,2,1,0,52,9,66,0,0,0,0,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,25,دير القمر - السراي القديمة - غرفة رقم 5,222,3,4,219,7,0,0,0,0,0,61,1,69,0,0,0,0,0,0,0,0,0,0,0,21,23,2,32,78,0,0,0,1,2,0,0,4,10,0,37,15,66,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,26,دير القمر - السراي القديمة - غرفة رقم 6,273,9,1,264,12,2,1,0,0,1,49,5,70,0,2,1,0,0,0,0,3,0,0,0,34,23,13,45,116,0,0,0,1,1,1,0,1,3,0,53,14,73,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,27,دير القمر - السراي القديمة - غرفة رقم 7,260,0,6,260,19,0,0,0,0,3,58,6,90,0,0,0,0,0,0,0,0,0,0,0,20,17,0,65,103,0,0,1,0,1,0,0,3,3,0,39,12,59,0,0,0,1,0,0,1,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,28,دير القمر - السراي القديمة - غرفة رقم 8,220,2,0,218,12,1,0,0,0,0,51,3,67,0,0,0,0,0,0,0,0,0,0,0,20,29,1,28,80,0,0,0,0,1,2,0,7,2,0,49,8,70,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الثالثة في دائرة جبل لبنان 4 - الشوف,29,دير القمر - السراي القديمة - غرفة رقم 9,214,2,0,212,21,0,1,0,0,0,49,3,76,0,0,0,0,0,0,0,1,0,0,0,20,24,2,45,92,0,1,0,1,2,0,0,2,1,0,35,1,41,0,0,0,0,0,0,0,0,0,0,0,0
