الدائرة,القضاء,القرية,رقم قلم الاقتراع,مركز قلم الاقتراع,الجنس,الطائفة,من سجل,الى سجل
الجنوب ٣,حاصبيا,عين قنيا,772,المدرسة الرسمية غرفة رقم ١,ذكور,درزي,1,49
الجنوب ٣,حاصبيا,عين قنيا,773,المدرسة الرسمية غرفة رقم ٢,اناث,درزي,1,48
الجنوب ٣,حاصبيا,عين قنيا,774,المدرسة الرسمية غرفة رقم ٣,اناث,درزي,49,82
الجنوب ٣,حاصبيا,عين قنيا,774,المدرسة الرسمية غرفة رقم ٣,ذكور,درزي,50,81
الجنوب ٣,حاصبيا,عين قنيا,774,المدرسة الرسمية غرفة رقم ٣,اناث,روم ارثوذكس,2,76
الجنوب ٣,حاصبيا,عين قنيا,774,المدرسة الرسمية غرفة رقم ٣,ذكور,روم ارثوذكس,1,76
الجنوب ٣,حاصبيا,كفر حمام,775,المدرسة الرسمية /البلدية غرفة رقم ١,ذكور,سني,1,48
الجنوب ٣,حاصبيا,كفر حمام,776,المدرسة الرسمية /البلدية غرفة رقم ٢,اناث,سني,1,48
الجنوب ٣,حاصبيا,كفر حمام,777,المدرسة الرسمية /البلدية غرفة رقم ٣,اناث,سني,49,106
الجنوب ٣,حاصبيا,كفر حمام,777,المدرسة الرسمية /البلدية غرفة رقم ٣,ذكور,سني,49,106
الجنوب ٣,حاصبيا,كفرشوبا,778,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,46
الجنوب ٣,حاصبيا,كفرشوبا,779,المدرسة الرسمية غرفة رقم ٢,ذكور,سني,47,98
الجنوب ٣,حاصبيا,كفرشوبا,780,المدرسة الرسمية غرفة رقم ٣,ذكور,سني,99,144
الجنوب ٣,حاصبيا,كفرشوبا,781,المدرسة الرسمية غرفة رقم ٤,ذكور,روم ارثوذكس,1,10
الجنوب ٣,حاصبيا,كفرشوبا,781,المدرسة الرسمية غرفة رقم ٤,ذكور,سني,145,304
الجنوب ٣,حاصبيا,كفرشوبا,782,المدرسة الرسمية غرفة رقم ٥,اناث,سني,1,46
الجنوب ٣,حاصبيا,كفرشوبا,783,المدرسة الرسمية غرفة رقم ٦,اناث,سني,47,97
الجنوب ٣,حاصبيا,كفرشوبا,784,المدرسة الرسمية غرفة رقم ٧,اناث,سني,98,144
الجنوب ٣,حاصبيا,كفرشوبا,785,المدرسة الرسمية غرفة رقم ٨,اناث,روم ارثوذكس,1,10
الجنوب ٣,حاصبيا,كفرشوبا,785,المدرسة الرسمية غرفة رقم ٨,اناث,سني,145,302
الجنوب ٣,حاصبيا,كوكبا,786,المدرسة الرسمية غرفة رقم ١,ذكور,ماروني,1,89
الجنوب ٣,حاصبيا,كوكبا,787,المدرسة الرسمية غرفة رقم ٢,اناث,ماروني,1,88
الجنوب ٣,حاصبيا,كوكبا,788,المدرسة الرسمية غرفة رقم ٣,اناث,ماروني,89,285
الجنوب ٣,حاصبيا,كوكبا,788,المدرسة الرسمية غرفة رقم ٣,ذكور,ماروني,90,284
الجنوب ٣,حاصبيا,مرج الزهور,789,المدرسة الرسمية غرفة رقم ١,ذكور,روم ارثوذكس,1,3
الجنوب ٣,حاصبيا,مرج الزهور,789,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,36
الجنوب ٣,حاصبيا,مرج الزهور,790,المدرسة الرسمية غرفة رقم ٢,اناث,روم ارثوذكس,1,3
الجنوب ٣,حاصبيا,مرج الزهور,790,المدرسة الرسمية غرفة رقم ٢,اناث,سني,1,36
الجنوب ٣,حاصبيا,ميمس,791,المدرسة الرسمية غرفة رقم ١,ذكور,درزي,1,88
الجنوب ٣,حاصبيا,ميمس,792,المدرسة الرسمية غرفة رقم ٢,اناث,درزي,2,87
الجنوب ٣,حاصبيا,ميمس,793,المدرسة الرسمية غرفة رقم ٣,اناث,درزي,88,145
الجنوب ٣,حاصبيا,ميمس,793,المدرسة الرسمية غرفة رقم ٣,ذكور,درزي,89,145
الجنوب ٣,حاصبيا,ميمس,793,المدرسة الرسمية غرفة رقم ٣,اناث,روم ارثوذكس,1,132
الجنوب ٣,حاصبيا,ميمس,793,المدرسة الرسمية غرفة رقم ٣,ذكور,روم ارثوذكس,1,132
الجنوب ٣,حاصبيا,ميمس,793,المدرسة الرسمية غرفة رقم ٣,اناث,روم كاثوليك,1,9
الجنوب ٣,حاصبيا,ميمس,793,المدرسة الرسمية غرفة رقم ٣,ذكور,روم كاثوليك,1,10
الجنوب ٣,مرجعيون,ابل السقي,513,المدرسة الرسمية القديمة غرفة رقم ١,ذكور,ارمن ارثوذكس,1,1
الجنوب ٣,مرجعيون,ابل السقي,513,المدرسة الرسمية القديمة غرفة رقم ١,ذكور,روم ارثوذكس,1,327
الجنوب ٣,مرجعيون,ابل السقي,514,المدرسة الرسمية القديمة غرفة رقم ٢,ذكور,درزي,1,75
الجنوب ٣,مرجعيون,ابل السقي,515,المدرسة الرسمية القديمة غرفة رقم ٣,اناث,روم ارثوذكس,4,327
الجنوب ٣,مرجعيون,ابل السقي,516,المدرسة الرسمية القديمة غرفة رقم ٤,اناث,درزي,1,74
الجنوب ٣,مرجعيون,ابل السقي,516,المدرسة الرسمية القديمة غرفة رقم ٤,اناث,سريان ارثوذكس,1,2
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,اناث,ارمن ارثوذكس,1,1
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,اناث,ارمن كاثوليك,1,1
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,ذكور,ارمن كاثوليك,1,1
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,اناث,انجيلي,2,88
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,ذكور,انجيلي,2,87
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,اناث,روم كاثوليك,2,31
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,ذكور,روم كاثوليك,2,31
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,ذكور,سريان ارثوذكس,1,2
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,اناث,سني,1,1
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,ذكور,سني,1,1
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,اناث,لاتين,1,5
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,ذكور,لاتين,1,5
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,اناث,ماروني,1,20
الجنوب ٣,مرجعيون,ابل السقي,517,المدرسة الرسمية القديمة غرفة رقم ٥,ذكور,ماروني,1,20
الجنوب ٣,مرجعيون,الجديدة حي السراي,518,المدرسة المهنية الرسمية غرفة رقم ١,اناث,انجيلي,1,11
الجنوب ٣,مرجعيون,الجديدة حي السراي,518,المدرسة المهنية الرسمية غرفة رقم ١,ذكور,روم ارثوذكس,1,230
الجنوب ٣,مرجعيون,الجديدة حي السراي,519,المدرسة المهنية الرسمية غرفة رقم ٢,اناث,ارمن ارثوذكس,28,28
الجنوب ٣,مرجعيون,الجديدة حي السراي,519,المدرسة المهنية الرسمية غرفة رقم ٢,اناث,روم ارثوذكس,1,230
الجنوب ٣,مرجعيون,الجديدة حي السراي,519,المدرسة المهنية الرسمية غرفة رقم ٢,ذكور,ماروني,23,40
الجنوب ٣,مرجعيون,الجديدة حي السراي,520,المدرسة المهنية الرسمية غرفة رقم ٣,ذكور,انجيلي,1,11
الجنوب ٣,مرجعيون,الجديدة حي السراي,520,المدرسة المهنية الرسمية غرفة رقم ٣,اناث,روم كاثوليك,1,108
الجنوب ٣,مرجعيون,الجديدة حي السراي,520,المدرسة المهنية الرسمية غرفة رقم ٣,ذكور,روم كاثوليك,1,108
الجنوب ٣,مرجعيون,الجديدة حي السراي,520,المدرسة المهنية الرسمية غرفة رقم ٣,اناث,سني,1,8
الجنوب ٣,مرجعيون,الجديدة حي السراي,520,المدرسة المهنية الرسمية غرفة رقم ٣,ذكور,سني,1,8
الجنوب ٣,مرجعيون,الجديدة حي السراي,520,المدرسة المهنية الرسمية غرفة رقم ٣,اناث,ماروني,9,40
الجنوب ٣,مرجعيون,الجديدة حي العيون,521,المدرسة المهنية الرسمية غرفة رقم ٤,ذكور,روم ارثوذكس,1,157
الجنوب ٣,مرجعيون,الجديدة حي العيون,521,المدرسة المهنية الرسمية غرفة رقم ٤,ذكور,سني,1,92
الجنوب ٣,مرجعيون,الجديدة حي العيون,522,المدرسة المهنية الرسمية غرفة رقم ٥,اناث,روم ارثوذكس,2,157
الجنوب ٣,مرجعيون,الجديدة حي العيون,522,المدرسة المهنية الرسمية غرفة رقم ٥,اناث,روم كاثوليك,1,53
الجنوب ٣,مرجعيون,الجديدة حي العيون,522,المدرسة المهنية الرسمية غرفة رقم ٥,ذكور,روم كاثوليك,1,53
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,ارمن ارثوذكس,2,4
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,ذكور,ارمن ارثوذكس,2,4
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,ارمن كاثوليك,1,1
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,انجيلي,5,5
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,ذكور,انجيلي,2,5
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,درزي,1,1
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,ذكور,درزي,1,1
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,سني,1,92
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,شيعي,1,12
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,ذكور,شيعي,1,12
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,لاتين,1,1
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,ذكور,لاتين,1,1
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,اناث,ماروني,2,19
الجنوب ٣,مرجعيون,الجديدة حي العيون,523,المدرسة المهنية الرسمية غرفة رقم ٦,ذكور,ماروني,2,21
الجنوب ٣,مرجعيون,الجديدة حي القلعة,524,المدرسة المتوسطة الرسمية غرفة رقم ٤,ذكور,ارمن ارثوذكس,1,62
الجنوب ٣,مرجعيون,الجديدة حي القلعة,524,المدرسة المتوسطة الرسمية غرفة رقم ٤,اناث,روم ارثوذكس,2,227
الجنوب ٣,مرجعيون,الجديدة حي القلعة,524,المدرسة المتوسطة الرسمية غرفة رقم ٤,ذكور,سني,1,16
الجنوب ٣,مرجعيون,الجديدة حي القلعة,525,المدرسة المتوسطة الرسمية غرفة رقم ٥,ذكور,انجيلي,1,81
الجنوب ٣,مرجعيون,الجديدة حي القلعة,525,المدرسة المتوسطة الرسمية غرفة رقم ٥,ذكور,روم ارثوذكس,1,227
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,ذكور,ارمن كاثوليك,2,2
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,اناث,انجيلي,1,81
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,اناث,روم كاثوليك,3,43
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,ذكور,روم كاثوليك,3,43
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,اناث,سني,1,16
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,اناث,شيعي,1,12
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,ذكور,شيعي,1,12
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,اناث,ماروني,2,32
الجنوب ٣,مرجعيون,الجديدة حي القلعة,526,المدرسة المتوسطة الرسمية غرفة رقم ٦,ذكور,ماروني,1,32
الجنوب ٣,مرجعيون,الجديدة حي المدارس,527,المدرسة المتوسطة الرسمية غرفة رقم ١,اناث,روم كاثوليك,1,128
الجنوب ٣,مرجعيون,الجديدة حي المدارس,527,المدرسة المتوسطة الرسمية غرفة رقم ١,اناث,سني,1,50
الجنوب ٣,مرجعيون,الجديدة حي المدارس,527,المدرسة المتوسطة الرسمية غرفة رقم ١,اناث,شيعي,1,4
الجنوب ٣,مرجعيون,الجديدة حي المدارس,527,المدرسة المتوسطة الرسمية غرفة رقم ١,ذكور,شيعي,2,4
الجنوب ٣,مرجعيون,الجديدة حي المدارس,528,المدرسة المتوسطة الرسمية غرفة رقم ٢,اناث,روم ارثوذكس,1,184
الجنوب ٣,مرجعيون,الجديدة حي المدارس,528,المدرسة المتوسطة الرسمية غرفة رقم ٢,ذكور,روم ارثوذكس,1,186
الجنوب ٣,مرجعيون,الجديدة حي المدارس,528,المدرسة المتوسطة الرسمية غرفة رقم ٢,اناث,ماروني,1,25
الجنوب ٣,مرجعيون,الجديدة حي المدارس,529,المدرسة المتوسطة الرسمية غرفة رقم ٣,اناث,انجيلي,3,12
الجنوب ٣,مرجعيون,الجديدة حي المدارس,529,المدرسة المتوسطة الرسمية غرفة رقم ٣,ذكور,انجيلي,3,12
الجنوب ٣,مرجعيون,الجديدة حي المدارس,529,المدرسة المتوسطة الرسمية غرفة رقم ٣,ذكور,روم كاثوليك,1,129
الجنوب ٣,مرجعيون,الجديدة حي المدارس,529,المدرسة المتوسطة الرسمية غرفة رقم ٣,ذكور,سني,1,50
الجنوب ٣,مرجعيون,الجديدة حي المدارس,529,المدرسة المتوسطة الرسمية غرفة رقم ٣,ذكور,ماروني,1,25
الجنوب ٣,مرجعيون,الخيام جنوبي,530,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ٩,ذكور,شيعي,2,51
الجنوب ٣,مرجعيون,الخيام جنوبي,531,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ١٠,ذكور,شيعي,52,101
الجنوب ٣,مرجعيون,الخيام جنوبي,532,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ١١,ذكور,شيعي,104,138
الجنوب ٣,مرجعيون,الخيام جنوبي,533,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ١٢,ذكور,شيعي,139,247
الجنوب ٣,مرجعيون,الخيام جنوبي,534,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ١٣,اناث,شيعي,2,51
الجنوب ٣,مرجعيون,الخيام جنوبي,535,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ١٤,اناث,شيعي,52,100
الجنوب ٣,مرجعيون,الخيام جنوبي,536,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ١٥,اناث,شيعي,101,139
الجنوب ٣,مرجعيون,الخيام جنوبي,537,مدرسة علي حسين عبداالله المتوسطة الرسمية غرفة رقم ١٦,اناث,شيعي,140,247
الجنوب ٣,مرجعيون,الخيام شرقي,538,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ١,ذكور,شيعي,1,45
الجنوب ٣,مرجعيون,الخيام شرقي,539,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ٢,ذكور,شيعي,46,99
الجنوب ٣,مرجعيون,الخيام شرقي,540,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ٣,ذكور,شيعي,100,139
الجنوب ٣,مرجعيون,الخيام شرقي,541,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ٤,ذكور,شيعي,140,283
الجنوب ٣,مرجعيون,الخيام شرقي,542,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ٥,اناث,شيعي,1,48
الجنوب ٣,مرجعيون,الخيام شرقي,543,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ٦,اناث,شيعي,49,100
الجنوب ٣,مرجعيون,الخيام شرقي,544,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ٧,اناث,شيعي,101,141
الجنوب ٣,مرجعيون,الخيام شرقي,545,المدرسة المهنية الرسمية (الثانوية الرسمية حاليا) غرفة رقم ٨,اناث,شيعي,142,604
الجنوب ٣,مرجعيون,الخيام شمالي,546,المدرسة الابتدائية الرسمية غرفة رقم ١,ذكور,شيعي,1,53
الجنوب ٣,مرجعيون,الخيام شمالي,547,المدرسة الابتدائية الرسمية غرفة رقم ٢,اناث,شيعي,1,52
الجنوب ٣,مرجعيون,الخيام شمالي,548,المدرسة الابتدائية الرسمية غرفة رقم ٣,اناث,شيعي,53,137
الجنوب ٣,مرجعيون,الخيام شمالي,548,المدرسة الابتدائية الرسمية غرفة رقم ٣,ذكور,شيعي,54,577
الجنوب ٣,مرجعيون,الخيام شمالي,549,المدرسة الابتدائية الرسمية غرفة رقم ٤,اناث,روم ارثوذكس,5,99
الجنوب ٣,مرجعيون,الخيام شمالي,549,المدرسة الابتدائية الرسمية غرفة رقم ٤,ذكور,روم ارثوذكس,3,99
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,اناث,ارمن ارثوذكس,1,1
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,ذكور,ارمن ارثوذكس,1,1
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,اناث,ارمن كاثوليك,4,4
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,ذكور,ارمن كاثوليك,4,4
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,اناث,انجيلي,4,39
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,ذكور,انجيلي,4,39
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,اناث,روم كاثوليك,1,17
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,ذكور,روم كاثوليك,2,17
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,اناث,ماروني,3,71
الجنوب ٣,مرجعيون,الخيام شمالي,550,المدرسة الابتدائية الرسمية غرفة رقم ٥,ذكور,ماروني,3,68
الجنوب ٣,مرجعيون,الخيام غربي,551,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ١,ذكور,شيعي,1,58
الجنوب ٣,مرجعيون,الخيام غربي,552,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ٢,ذكور,شيعي,61,131
الجنوب ٣,مرجعيون,الخيام غربي,553,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ٣,ذكور,شيعي,132,182
الجنوب ٣,مرجعيون,الخيام غربي,554,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ٤,ذكور,شيعي,183,319
الجنوب ٣,مرجعيون,الخيام غربي,555,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ٥,اناث,شيعي,1,47
الجنوب ٣,مرجعيون,الخيام غربي,556,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ٦,اناث,شيعي,48,125
الجنوب ٣,مرجعيون,الخيام غربي,557,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ٧,اناث,شيعي,126,180
الجنوب ٣,مرجعيون,الخيام غربي,558,مدرسة علي حسين عبد االله المتوسطة الرسمية غرفة رقم ٨,اناث,شيعي,181,465
الجنوب ٣,مرجعيون,الطيبه,559,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ١,ذكور,شيعي,1,46
الجنوب ٣,مرجعيون,الطيبه,560,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٢,ذكور,شيعي,47,77
الجنوب ٣,مرجعيون,الطيبه,561,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٣,ذكور,شيعي,78,116
الجنوب ٣,مرجعيون,الطيبه,562,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٤,ذكور,شيعي,117,184
الجنوب ٣,مرجعيون,الطيبه,563,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٥,ذكور,شيعي,188,278
الجنوب ٣,مرجعيون,الطيبه,564,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٦,ذكور,شيعي,279,378
الجنوب ٣,مرجعيون,الطيبه,565,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٧,اناث,شيعي,1,44
الجنوب ٣,مرجعيون,الطيبه,566,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٨,اناث,شيعي,45,76
الجنوب ٣,مرجعيون,الطيبه,567,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ٩,اناث,شيعي,77,112
الجنوب ٣,مرجعيون,الطيبه,568,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ١٠,اناث,شيعي,113,173
الجنوب ٣,مرجعيون,الطيبه,569,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ١١,اناث,شيعي,175,269
الجنوب ٣,مرجعيون,الطيبه,570,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ١٢,اناث,شيعي,270,357
الجنوب ٣,مرجعيون,الطيبه,571,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ١٣,اناث,شيعي,358,482
الجنوب ٣,مرجعيون,الطيبه,571,مدرسة الطيبه المتوسطة الرسمية غرفة رقم ١٣,ذكور,شيعي,379,481
الجنوب ٣,مرجعيون,القصير,572,النادي الحسيني غرفة رقم ١,اناث,شيعي,1,17
الجنوب ٣,مرجعيون,القصير,572,النادي الحسيني غرفة رقم ١,ذكور,شيعي,1,17
الجنوب ٣,مرجعيون,القليعه,573,المتوسطة الرسمية غرفة رقم ١,ذكور,ماروني,3,69
الجنوب ٣,مرجعيون,القليعه,574,المتوسطة الرسمية غرفة رقم ٢,ذكور,ماروني,70,147
الجنوب ٣,مرجعيون,القليعه,575,المتوسطة الرسمية غرفة رقم ٣,ذكور,ماروني,150,236
الجنوب ٣,مرجعيون,القليعه,576,المتوسطة الرسمية غرفة رقم ٤,اناث,ماروني,1,66
الجنوب ٣,مرجعيون,القليعه,577,المتوسطة الرسمية غرفة رقم ٥,اناث,ماروني,69,150
الجنوب ٣,مرجعيون,القليعه,578,المتوسطة الرسمية غرفة رقم ٦,اناث,ماروني,151,239
الجنوب ٣,مرجعيون,القليعه,579,المتوسطة الرسمية غرفة رقم ٧,اناث,سني,1,1
الجنوب ٣,مرجعيون,القليعه,579,المتوسطة الرسمية غرفة رقم ٧,ذكور,سني,1,1
الجنوب ٣,مرجعيون,القليعه,579,المتوسطة الرسمية غرفة رقم ٧,اناث,ماروني,240,407
الجنوب ٣,مرجعيون,القليعه,579,المتوسطة الرسمية غرفة رقم ٧,ذكور,ماروني,238,407
الجنوب ٣,مرجعيون,الوزاني,580,المدرسة الرسمية غرفة رقم ١,اناث,سني,1,17
الجنوب ٣,مرجعيون,الوزاني,580,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,17
الجنوب ٣,مرجعيون,الوزاني,580,المدرسة الرسمية غرفة رقم ١,اناث,شيعي,4,14
الجنوب ٣,مرجعيون,الوزاني,580,المدرسة الرسمية غرفة رقم ١,ذكور,شيعي,4,14
الجنوب ٣,مرجعيون,برج الملوك,581,نادي الشعله غرفة رقم ١,ذكور,انجيلي,1,5
الجنوب ٣,مرجعيون,برج الملوك,581,نادي الشعله غرفة رقم ١,ذكور,روم ارثوذكس,1,110
الجنوب ٣,مرجعيون,برج الملوك,581,نادي الشعله غرفة رقم ١,ذكور,روم كاثوليك,1,42
الجنوب ٣,مرجعيون,برج الملوك,581,نادي الشعله غرفة رقم ١,ذكور,ماروني,1,12
الجنوب ٣,مرجعيون,برج الملوك,582,نادي الشعله غرفة رقم ٢,اناث,انجيلي,1,3
الجنوب ٣,مرجعيون,برج الملوك,582,نادي الشعله غرفة رقم ٢,اناث,روم ارثوذكس,1,110
الجنوب ٣,مرجعيون,برج الملوك,582,نادي الشعله غرفة رقم ٢,اناث,روم كاثوليك,1,39
الجنوب ٣,مرجعيون,برج الملوك,582,نادي الشعله غرفة رقم ٢,اناث,ماروني,1,12
الجنوب ٣,مرجعيون,بلاط,583,المدرسة المتوسطة الرسمية غرفة رقم ١,ذكور,شيعي,1,53
الجنوب ٣,مرجعيون,بلاط,584,المدرسة المتوسطة الرسمية غرفة رقم ٢,ذكور,انجيلي,1,6
الجنوب ٣,مرجعيون,بلاط,584,المدرسة المتوسطة الرسمية غرفة رقم ٢,ذكور,روم ارثوذكس,3,43
الجنوب ٣,مرجعيون,بلاط,584,المدرسة المتوسطة الرسمية غرفة رقم ٢,ذكور,روم كاثوليك,1,21
الجنوب ٣,مرجعيون,بلاط,584,المدرسة المتوسطة الرسمية غرفة رقم ٢,ذكور,شيعي,54,121
الجنوب ٣,مرجعيون,بلاط,584,المدرسة المتوسطة الرسمية غرفة رقم ٢,ذكور,ماروني,4,4
الجنوب ٣,مرجعيون,بلاط,585,المدرسة المتوسطة الرسمية غرفة رقم ٣,اناث,شيعي,1,53
الجنوب ٣,مرجعيون,بلاط,586,المدرسة المتوسطة الرسمية غرفة رقم ٤,اناث,انجيلي,1,7
الجنوب ٣,مرجعيون,بلاط,586,المدرسة المتوسطة الرسمية غرفة رقم ٤,اناث,روم ارثوذكس,3,46
الجنوب ٣,مرجعيون,بلاط,586,المدرسة المتوسطة الرسمية غرفة رقم ٤,اناث,روم كاثوليك,1,23
الجنوب ٣,مرجعيون,بلاط,586,المدرسة المتوسطة الرسمية غرفة رقم ٤,اناث,شيعي,54,121
الجنوب ٣,مرجعيون,بليدا,587,مدرسة بليدا المتوسطه الرسمية البناء الجديد غرفة رقم ١,ذكور,شيعي,1,33
الجنوب ٣,مرجعيون,بليدا,588,مدرسة بليدا المتوسطه الرسمية البناء الجديد غرفة رقم ٢,ذكور,شيعي,35,72
الجنوب ٣,مرجعيون,بليدا,589,مدرسة بليدا المتوسطه الرسمية البناء الجديد غرفة رقم ٣,ذكور,شيعي,73,103
الجنوب ٣,مرجعيون,بليدا,590,مدرسة بليدا المتوسطه الرسمية البناء الجديد غرفة رقم ٤,ذكور,شيعي,104,141
الجنوب ٣,مرجعيون,بليدا,591,مدرسة بليدا المتوسطه الرسمية البناء الجديد غرفة رقم ٥,اناث,شيعي,1,33
